,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
221,Mandariinid,(2013),87 min,8.1,73        ,"46,248",$0.14M,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in."
222,PK,(2014),153 min,8.1,****,"186,293",$10.62M,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.
223,OMG: Oh My God!,(2012),125 min,8.1,****,"58,695",$0.92M,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
224,The Grand Budapest Hotel,(2014),99 min,8.1,88        ,"796,645",$59.10M,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
225,Gone Girl,(2014),149 min,8.1,79        ,"969,186",$167.77M,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
226,Ôkami kodomo no Ame to Yuki,(2012),117 min,8.1,71        ,"44,764",%^%^%^,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
227,Hacksaw Ridge,(2016),139 min,8.1,71        ,"515,422",$67.21M,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
228,Barfi!,(2012),151 min,8.1,****,"81,764",$2.80M,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
229,12 Years a Slave,(2013),134 min,8.1,96        ,"694,810",$56.67M,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
230,Rush,(I) (2013),123 min,8.1,74        ,"475,865",$26.95M,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
231,Ford v Ferrari,(2019),152 min,8.1,81        ,"382,326",$117.62M,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
232,Spotlight,(I) (2015),129 min,8.1,93        ,"465,674",$45.06M,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
233,Kahaani,(2012),122 min,8.1,****,"62,847",$1.04M,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
234,Udaan,(2010),134 min,8.1,****,"45,104",$0.01M,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
235,The Help,(2011),146 min,8.1,62        ,"455,859",$169.71M,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
236,Prisoners,(2013),153 min,8.1,70        ,"697,202",$61.00M,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
237,Mad Max: Fury Road,(2015),120 min,8.1,90        ,"987,583",$154.06M,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
238,A Wednesday,(2008),104 min,8.1,****,"78,492",%^%^%^,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
239,Gran Torino,(2008),116 min,8.1,72        ,"770,213",$148.10M,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
240,Harry Potter and the Deathly Hallows: Part 2,(2011),130 min,8.1,85        ,"862,714",$381.01M,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
241,Article 15,(2019),130 min,8.1,****,"33,520",%^%^%^,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
242,Hachi: A Dog's Tale,(2009),93 min,8.1,****,"282,703",#233,A college professor bonds with an abandoned dog he takes into his home.
243,Mary and Max.,(2009),92 min,8.1,****,"176,788",#204,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
244,How to Train Your Dragon,(2010),98 min,8.1,75        ,"732,118",$217.58M,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
245,Chak De! India,(2007),153 min,8.1,68        ,"80,226",$1.11M,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
246,Into the Wild,(2007),148 min,8.1,73        ,"619,082",$18.35M,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
247,Rang De Basanti,(2006),167 min,8.1,****,"118,990",$2.20M,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
248,Million Dollar Baby,(2004),132 min,8.1,86        ,"682,886",$100.49M,A determined woman works with a hardened boxing trainer to become a professional.
249,Hotel Rwanda,(2004),121 min,8.1,79        ,"354,402",$23.53M,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
250,Ratatouille,(2007),111 min,8.1,96        ,"723,406",$206.45M,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
251,Before Sunset,(2004),80 min,8.1,90        ,"262,006",$5.82M,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
252,Black,(2005),122 min,8.1,****,"34,981",$0.73M,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world."
253,Munna Bhai M.B.B.S.,(2003),156 min,8.1,****,"81,695",%^%^%^,A gangster sets out to fulfill his father's dream of becoming a doctor.
254,"Swades: We, the People",(2004),210 min,8.1,****,"90,205",$1.22M,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
255,Salinui chueok,(2003),131 min,8.1,82        ,"179,954",$0.01M,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
256,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),143 min,8.1,63        ,"1,114,128",$305.41M,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
257,Dil Chahta Hai,(2001),183 min,8.1,****,"72,140",$0.30M,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
258,Catch Me If You Can,(2002),141 min,8.1,75        ,"962,872",$164.62M,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
259,Her Sey Çok Güzel Olacak,(1998),107 min,8.1,****,"25,527",%^%^%^,"When Altan swipes prescription drugs from his brother Nuri's pharmacy, they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi Altan ...                See full summary »"
260,Amores perros,(2000),154 min,8.1,83        ,"239,594",$5.38M,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
261,Hera Pheri,(2000),156 min,8.1,****,"66,464",%^%^%^,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
262,Sarfarosh,(1999),174 min,8.1,****,"25,765",%^%^%^,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists."
263,"Monsters, Inc.",(2001),92 min,8.1,79        ,"898,448",$289.92M,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
264,Lagaan: Once Upon a Time in India,(2001),224 min,8.1,84        ,"113,900",$0.07M,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
265,Festen,(1998),105 min,8.1,82        ,"86,902",$1.65M,"At Helge's 60th birthday party, some unpleasant family truths are revealed."
266,The Iron Giant,(1999),86 min,8.1,85        ,"193,220",$23.16M,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
267,The Big Lebowski,(1998),117 min,8.1,71        ,"800,651",$17.50M,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife."
268,Fa Yeung Nin Wah,(2000),98 min,8.1,85        ,"148,119",$2.73M,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
269,Trainspotting,(1996),93 min,8.1,83        ,"681,687",$16.50M,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
270,Fargo,(1996),98 min,8.1,85        ,"672,368",$24.61M,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
271,Eskiya,(1996),128 min,8.1,****,"69,952",%^%^%^,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
272,Underground,(1995),170 min,8.1,79        ,"58,447",$0.17M,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate."
273,La haine,(1995),98 min,8.1,****,"171,903",$0.31M,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
274,Before Sunrise,(1995),101 min,8.1,77        ,"304,791",$5.54M,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
275,Trois couleurs: Rouge,(1994),99 min,8.1,100        ,"102,841",$4.04M,A model discovers a retired judge is keen on invading people's privacy.
276,In the Name of the Father,(1993),133 min,8.1,84        ,"174,251",$25.01M,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
277,Groundhog Day,(1993),101 min,8.1,72        ,"624,564",$70.91M,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right."
278,Ba wang bie ji,(1993),171 min,8.1,83        ,"28,938",$5.22M,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
279,Da hong deng long gao gao gua,(1991),125 min,8.1,****,"32,705",$2.60M,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
280,Dom za vesanje,(1988),142 min,8.1,****,"30,785",$0.28M,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
281,Dead Poets Society,(1989),128 min,8.1,79        ,"483,094",$95.86M,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
282,Tonari no Totoro,(1988),86 min,8.1,86        ,"334,652",$1.11M,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
283,Stand by Me,(1986),89 min,8.1,75        ,"399,767",$52.29M,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
284,Platoon,(1986),120 min,8.1,92        ,"411,725",$138.53M,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
285,Jean de Florette,(1986),120 min,8.1,****,"25,921",$4.94M,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.
286,The Terminator,(1984),107 min,8.1,84        ,"855,653",$38.40M,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
287,"Paris, Texas",(1984),145 min,8.1,80        ,"105,708",$2.18M,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
288,Gandhi,(1982),191 min,8.1,79        ,"230,815",$52.77M,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
289,Fanny och Alexander,(1982),188 min,8.1,100        ,"63,715",$4.97M,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls."
290,Blade Runner,(1982),117 min,8.1,84        ,"760,936",$32.87M,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
291,Stalker,(1979),162 min,8.1,****,"133,366",$0.23M,A guide leads two men through an area known as the Zone to find a room that grants wishes.
292,Höstsonaten,(1978),99 min,8.1,****,"34,348",%^%^%^,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young."
293,The Deer Hunter,(1978),183 min,8.1,86        ,"337,494",$48.98M,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
294,Rocky,(1976),120 min,8.1,70        ,"569,494",$117.24M,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
295,Network,(1976),121 min,8.1,83        ,"159,042",#220,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
296,The Message,(1976),177 min,8.1,****,"47,662",%^%^%^,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.
297,Sholay,(1975),204 min,8.1,****,"55,680",%^%^%^,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
298,Jaws,(1975),124 min,8.1,87        ,"597,889",$260.00M,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
299,Barry Lyndon,(1975),185 min,8.1,89        ,"166,684",#191,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
300,Paper Moon,(1973),102 min,8.1,77        ,"47,682",$30.93M,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
301,The Exorcist,(1973),122 min,8.1,81        ,"400,729",$232.91M,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her."
302,Anand,(1971),122 min,8.1,****,"33,825",%^%^%^,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
303,Cool Hand Luke,(1967),127 min,8.1,92        ,"176,578",$16.22M,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
304,Persona,(1966),85 min,8.1,86        ,"117,926",#241,A nurse is put in charge of a mute actress and finds that their personae are melding together.
305,The Sound of Music,(1965),172 min,8.1,63        ,"232,059",$163.21M,A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
306,La battaglia di Algeri,(1966),121 min,8.1,96        ,"60,047",$0.06M,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
307,The Man Who Shot Liberty Valance,(1962),123 min,8.1,94        ,"76,001",%^%^%^,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.
308,Jungfrukällan,(1960),89 min,8.1,****,"29,365",$1.53M,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way."
309,Inherit the Wind,(1960),128 min,8.1,75        ,"30,249",%^%^%^,"Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution."
310,Les quatre cents coups,(1959),99 min,8.1,****,"117,356",#240,"A young boy, left without attention, delves into a life of petty crime."
311,Ben-Hur,(1959),212 min,8.1,90        ,"238,364",$74.70M,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
312,Kakushi-toride no san-akunin,(1958),139 min,8.1,89        ,"39,133",%^%^%^,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines."
313,Smultronstället,(1957),91 min,8.1,88        ,"107,060",#183,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
314,Det sjunde inseglet,(1957),96 min,8.1,88        ,"184,224",#199,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
315,Le notti di Cabiria,(1957),110 min,8.1,****,"49,008",$0.75M,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
316,Kumonosu-jô,(1957),110 min,8.1,****,"52,178",%^%^%^,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle."
317,Du rififi chez les hommes,(1955),118 min,8.1,97        ,"34,422",$0.06M,"Four men plan a technically perfect crime, but the human element intervenes..."
318,On the Waterfront,(1954),108 min,8.1,91        ,"154,598",$9.60M,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
319,Les diaboliques,(1955),117 min,8.1,****,"65,844",$1.09M,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
320,Ace in the Hole,(1951),111 min,8.1,72        ,"35,994",$3.97M,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus."
321,White Heat,(1949),114 min,8.1,****,"32,961",%^%^%^,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
322,The Third Man,(1949),104 min,8.1,97        ,"171,151",$0.45M,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
323,The Red Shoes,(1948),135 min,8.1,****,"35,062",$10.90M,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
324,The Best Years of Our Lives,(1946),170 min,8.1,93        ,"64,437",$23.65M,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
325,The Shop Around the Corner,(1940),99 min,8.1,96        ,"33,114",$0.20M,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
326,Rebecca,(1940),130 min,8.1,86        ,"136,768",$4.36M,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
327,The Grapes of Wrath,(1940),129 min,8.1,96        ,"93,060",$0.06M,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
328,The Wizard of Oz,(1939),102 min,8.1,92        ,"396,382",$2.08M,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
329,Mr. Smith Goes to Washington,(1939),129 min,8.1,73        ,"115,473",$9.60M,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
330,La Grande Illusion,(1937),113 min,8.1,****,"36,678",$0.17M,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
331,It Happened One Night,(1934),105 min,8.1,87        ,"103,637",$4.36M,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
332,All Quiet on the Western Front,(1930),152 min,8.1,91        ,"61,449",$3.27M,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
333,The Circus,(1928),72 min,8.1,90        ,"33,787",%^%^%^,The Tramp finds work and the girl of his dreams at a circus.
334,Sunrise: A Song of Two Humans,(1927),94 min,8.1,****,"51,034",$0.54M,"A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he ends up rekindling his romance with his wife when she discovers their scheme."
335,"Quo vadis, Aida?",(2020),101 min,8.0,97        ,"33,050",%^%^%^,"Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp."
336,RRR (Rise Roar Revolt),(2022),187 min,8.0,83        ,"103,144",%^%^%^,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in 1920s.
337,Badhaai ho,(2018),124 min,8.0,****,"34,410",%^%^%^,A man is embarrassed when he finds out his mother is pregnant.
338,WolfWalkers,(2020),103 min,8.0,87        ,"31,771",%^%^%^,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.
339,Contratiempo,(2016),106 min,8.0,****,"174,174",%^%^%^,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.
340,La La Land,(2016),128 min,8.0,94        ,"577,550",$151.10M,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
341,Lion,(2016),118 min,8.0,69        ,"235,272",$51.74M,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
342,The Martian,(2015),144 min,8.0,80        ,"842,214",$228.43M,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
343,Mommy,(I) (2014),139 min,8.0,74        ,"56,919",$3.49M,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household."
344,Haider,(2014),160 min,8.0,****,"55,057",$0.90M,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate."
345,Soul,(2020),100 min,8.0,83        ,"320,740",%^%^%^,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
346,Zootopia,(2016),108 min,8.0,78        ,"491,941",$341.27M,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
347,Kis Uykusu,(2014),196 min,8.0,88        ,"51,622",$0.17M,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.
348,Bãhubali: The Beginning,(2015),159 min,8.0,****,"122,611",$6.74M,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples."
349,Kaguya-hime no Monogatari,(2013),137 min,8.0,89        ,"46,489",$1.51M,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime."
350,Special Chabbis,(2013),144 min,8.0,****,"56,211",$1.08M,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
351,The Imitation Game,(2014),114 min,8.0,71        ,"760,714",$91.13M,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life."
352,Guardians of the Galaxy,(2014),121 min,8.0,76        ,"1,161,696",$333.18M,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
353,Song of the Sea,(2014),93 min,8.0,85        ,"58,242",$0.86M,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world."
354,Blade Runner 2049,(2017),164 min,8.0,81        ,"557,961",$92.05M,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
355,Her,(2013),126 min,8.0,91        ,"604,771",$25.57M,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
356,The Revenant,(2015),156 min,8.0,76        ,"792,556",$183.64M,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
357,The Perks of Being a Wallflower,(2012),103 min,8.0,67        ,"506,539",$17.74M,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.
358,Tropa de Elite 2: O Inimigo Agora é Outro,(2010),115 min,8.0,71        ,"83,131",$0.10M,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups."
359,The King's Speech,(2010),118 min,8.0,88        ,"676,620",$138.80M,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
360,Deadpool,(2016),108 min,8.0,65        ,"1,019,269",$363.07M,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
361,Zack Snyder's Justice League,(2021),242 min,8.0,54        ,"388,730",%^%^%^,"Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions."
362,Ip Man,(2008),106 min,8.0,59        ,"223,380",%^%^%^,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive."
363,Dune: Part One,(2021),155 min,8.0,74        ,"606,563",$108.33M,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
364,Okuribito,(2008),130 min,8.0,68        ,"52,164",$1.50M,A newly unemployed cellist takes a job preparing the dead for funerals.
365,CODA,(2021),111 min,8.0,74        ,"123,654",%^%^%^,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents."
366,Slumdog Millionaire,(2008),120 min,8.0,84        ,"840,402",$141.32M,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
367,Black Swan,(2010),108 min,8.0,79        ,"757,943",$106.95M,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
368,Tropa de Elite,(2007),115 min,8.0,33        ,"104,009",$0.01M,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits."
369,The Avengers,(2012),143 min,8.0,69        ,"1,375,333",$623.28M,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
370,Persepolis,(2007),96 min,8.0,90        ,"94,613",$4.45M,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.
371,Lage Raho Munna Bhai,(2006),144 min,8.0,****,"47,050",$2.22M,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.
372,The Pursuit of Happyness,(2006),117 min,8.0,64        ,"505,538",$163.57M,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
373,Blood Diamond,(2006),143 min,8.0,64        ,"544,644",$57.37M,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
374,The Bourne Ultimatum,(2007),115 min,8.0,85        ,"632,392",$227.47M,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
375,Dare mo shiranai,(2004),141 min,8.0,88        ,"28,051",$0.68M,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning."
376,Sin City,(2005),124 min,8.0,74        ,"765,711",$74.10M,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
377,Le scaphandre et le papillon,(2007),112 min,8.0,92        ,"107,708",$5.99M,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.
